id,sort,name,venue_id,date,time
82,L,LOW DEAD VOLUME,4,"Sunday, May 20, 2012",09:00:00 PM
83,L,LUTHER,5,"Friday, May 18, 2012",10:20:00 PM
84,L,THE LAST ROCKERS,3,"Saturday, May 19, 2012",05:45:00 PM
85,L,THE LAWRENCE ARMS,6,"Saturday, May 19, 2012",11:00:00 PM
86,L,THE LOOKOUT,3,"Saturday, May 19, 2012",06:55:00 PM
87,M,MACHINEGUN SUZIE,3,"Sunday, May 20, 2012",10:00:00 PM
88,M,MALADROIT,1,"Sunday, May 20, 2012",10:35:00 PM
89,M,MAN WITHOUT PLAN,4,"Sunday, May 20, 2012",07:05:00 PM
90,M,MATT SMASHERS,6,"Sunday, May 20, 2012",08:30:00 PM
91,M,MAXIMUM R’N’R,3,"Saturday, May 19, 2012",08:05:00 PM
92,M,MAYFLOWER,3,"Sunday, May 20, 2012",08:05:00 PM
93,M,MEMORIES OF AN OLD MAN,4,"Saturday, May 19, 2012",03:05:00 PM
94,M,METALIAN,4,"Saturday, May 19, 2012",08:45:00 PM
95,M,MICAH SCHNABEL,3,"Saturday, May 19, 2012",10:20:00 PM
96,M,MIKE MOAK,2,"Saturday, May 19, 2012",12:45:00 PM
97,M,MIKE PARK,5,"Sunday, May 20, 2012",12:45:00 PM
98,M,MIKEY ERG,3,"Saturday, May 19, 2012",08:50:00 PM
99,M,MILANKU,1,"Saturday, May 19, 2012",05:55:00 PM
100,M,MOCKING BIRD WISH ME LUCK,5,"Friday, May 18, 2012",01:15:00 AM
101,M,THE MEATMEN,4,"Friday, May 18, 2012",11:25:00 PM
102,M,THE MENZINGERS,2,"Friday, May 18, 2012",07:45:00 PM
103,N,NAKED RAYGUN,2,"Saturday, May 19, 2012",09:55:00 PM
104,N,NAUGHTY GIRLS,4,"Friday, May 18, 2012",09:00:00 PM
105,N,NEVER HIT AGAIN,1,"Sunday, May 20, 2012",07:35:00 PM
106,N,NIGHTMARES FOR A WEEK,5,"Friday, May 18, 2012",12:15:00 AM
107,N,THE NILS FC,2,"Saturday, May 19, 2012",08:10:00 PM
108,O,OPOSITION RISING,2,"Sunday, May 20, 2012",10:00:00 PM
109,O,OR CONDOR,4,"Sunday, May 20, 2012",07:40:00 PM
110,O,ORGAN THIEVES,1,"Saturday, May 19, 2012",07:25:00 PM
111,O,OUT OF ORDER,1,"Saturday, May 19, 2012",02:15:00 AM
112,O,OVER THE TOP,1,"Sunday, May 20, 2012",06:50:00 PM
113,O,THE OBNOXIOUS ASSHOLES,1,"Saturday, May 19, 2012",01:30:00 AM
114,O,THE OLD WIVES,5,"Saturday, May 19, 2012",07:05:00 PM
115,P,PANZERBASTARD,4,"Saturday, May 19, 2012",09:30:00 PM
116,P,PAPER FORTUNES,3,"Sunday, May 20, 2012",05:45:00 PM
117,P,PEACE BE STILL,5,"Friday, May 18, 2012",07:05:00 PM
118,P,PENTIMENTO,1,"Friday, May 18, 2012",08:55:00 PM
119,P,PJ BOND,3,"Saturday, May 19, 2012",09:35:00 PM
120,P,PL MAFIA,1,"Sunday, May 20, 2012",12:35:00 AM
121,P,PLACEHOLDER,4,"Sunday, May 20, 2012",05:15:00 PM
122,P,PLAY DATE,5,"Sunday, May 20, 2012",12:00:00 PM
123,P,POISON IDEA,2,"Sunday, May 20, 2012",11:40:00 PM
124,P,PORCELAIN FOREHEAD,2,"Sunday, May 20, 2012",10:50:00 PM
125,P,POUZZA SK8 & DESTROY,2,"Sunday, May 20, 2012",03:00:00 PM
126,P,PREVENGE,5,"Saturday, May 19, 2012",09:35:00 PM
127,R,RANDOM KILLING,4,"Friday, May 18, 2012",10:25:00 PM
128,R,RAT PATROL,4,"Friday, May 18, 2012",05:55:00 PM
129,R,RESERVOIR,5,"Friday, May 18, 2012",06:30:00 PM
130,R,RIVER JONES,1,"Saturday, May 19, 2012",06:40:00 PM
131,R,ROCKHARD,3,"Sunday, May 20, 2012",10:45:00 PM
132,R,ROLLERSTARTER,6,"Sunday, May 20, 2012",09:15:00 PM
133,R,THE REAL DEAL,5,"Saturday, May 19, 2012",07:40:00 PM
134,R,THE REVELING,4,"Sunday, May 20, 2012",08:15:00 PM
135,S,SAINT ALVIA,2,"Saturday, May 19, 2012",04:10:00 PM
136,S,SAKES ALIVE,1,"Sunday, May 20, 2012",05:30:00 PM
137,S,SCARLET BEAST,2,"Sunday, May 20, 2012",04:35:00 PM
138,S,SHOT NERVES,4,"Saturday, May 19, 2012",04:15:00 PM
139,S,SILENT BONES,2,"Sunday, May 20, 2012",05:45:00 PM
140,S,SKULLIANS,4,"Friday, May 18, 2012",07:05:00 PM
141,S,SLOBS,2,"Sunday, May 20, 2012",07:30:00 PM
142,S,SOFISTIFUCKS,4,"Saturday, May 19, 2012",03:40:00 PM
143,S,SOLIDS,1,"Saturday, May 19, 2012",11:10:00 PM
144,S,SPARROWS,5,"Friday, May 18, 2012",09:35:00 PM
145,S,SPEED MASSACRE,4,"Friday, May 18, 2012",08:20:00 PM
146,S,STACK AND LARGE,1,"Friday, May 18, 2012",07:45:00 PM
147,S,STAY HOME,1,"Friday, May 18, 2012",08:20:00 PM
148,S,SUBSISTANCE ,2,"Saturday, May 19, 2012",05:20:00 PM
149,S,SUICIDE MACHINES,6,"Sunday, May 20, 2012",11:00:00 PM
150,S,SUNDOWNER,3,"Friday, May 18, 2012",08:15:00 PM
151,S,THE SLOW DEATH,5,"Saturday, May 19, 2012",10:20:00 PM
152,S,THE SNIPS,1,"Friday, May 18, 2012",11:15:00 PM
153,S,THE STEREO STATE,1,"Friday, May 18, 2012",09:40:00 PM
154,S,THE STRAGGLERS,1,"Friday, May 18, 2012",07:10:00 PM
155,T,TALKSICK,4,"Friday, May 18, 2012",06:30:00 PM
156,T,THOUSAND YOUNG,1,"Sunday, May 20, 2012",04:55:00 PM
157,T,TIGHT NUNS,3,"Sunday, May 20, 2012",06:55:00 PM
158,T,TIGHTROPE,5,"Saturday, May 19, 2012",08:50:00 PM
159,T,TIM BARRY,6,"Saturday, May 19, 2012",10:00:00 PM
160,U,UN,3,"Sunday, May 20, 2012",07:30:00 PM
161,U,UNBELIEVERS,2,"Saturday, May 19, 2012",03:35:00 PM
162,V,VIC RUGGIERO,3,"Saturday, May 19, 2012",12:05:00 AM
163,V,VOODOO GLOW SKULLS,6,"Sunday, May 20, 2012",10:00:00 PM
164,W,WE LOVE DANGER,1,"Sunday, May 20, 2012",06:05:00 PM
165,W,WEEKEND DADS,2,"Saturday, May 19, 2012",06:40:00 PM
166,W,WHISKEY SHITS,1,"Saturday, May 19, 2012",12:45:00 AM
167,W,WILSON,5,"Friday, May 18, 2012",08:50:00 PM
168,W,WORLDS SCARIEST POLICE CHASES,1,"Saturday, May 19, 2012",09:40:00 PM
169,Y,YOUNG LUNGS,1,"Saturday, May 19, 2012",08:55:00 PM
